user_id,public,completion_percentage,gender,region,AGE,I_am_working_in_field,spoken_languages,hobbies,I_most_enjoy_good_food,pets,body_type,my_eyesight,eye_color,hair_color,hair_type,completed_level_of_education,favourite_color,relation_to_smoking,relation_to_alcohol,sign_in_zodiac,on_pokec_i_am_looking_for,love_is_for_me,relation_to_casual_sex,my_partner_should_be,marital_status,children,relation_to_children,I_like_movies,I_like_watching_movie,I_like_music,I_mostly_like_listening_to_music,the_idea_of_good_evening,I_like_specialties_from_kitchen,fun,I_am_going_to_concerts,my_active_sports,my_passive_sports,profession,I_like_books,life_style,music,cars,politics,relationships,art_culture,hobbies_interests,science_technologies,computers_internet,education,sport,movies,travelling,health,companies_brands
1516,0,36,0,trnavsky kraj	trnava,0,null,null,null,null,null,null,null,hnede,null,null,null,null,null,null,kozorozec,null,null,null,null,zalubena,null,null,null,null,vsetko,vsade.,null,vegetarianskej,null,null,null,hokej,null,null,dhz-vsetky-dediny	hrnciarovce_zelenec	pinduskovci-p,null,null,null,kral-krasi,null,null,null,facebook-14,null,null,null,null,null,null
1555,0,83,0,bratislavsky kraj	malacky,19,sluzieb a obchodu,anglicky	nemecky	zahoracky :),spanie	pocuvanie hudby	diskoteky	priatelia,pri svieckach s partnerom	v kuchyni pri stole,mam psa,chuda,vidim len to co chcem,zelene,cierne,dlhe,null,cierna	zelena,nefajcim,pijem prilezitostne,skorpion,null,cely moj zivot,null,laskou mojho zivota	moj najlepsi priatel,vydata,null,mam velmi rada deti,komedie	serialy	rodinne,doma z gauca	u priatela,disko	hip-hop,na posteli	s partnerom	na dobru noc,pri svieckach s partnerom	s kamaratmi do baru,slovenskej	mexickej	talianskej,jakubov-je-naaj-p	dievcata-vs-chlapci-kto-wyhraa-d	posli-tuto-pozvanku-vsem-ktere-nechces-nikdy-ztratit,zriedkavo,null,hokej,null,rozpravky	romany,som-kto-som	usmev-cez-slzy	zamiluj-sa-do-mna-preto-kto-naozaj-som-nie-preto-ako-vyzeram	spagety-a-cestoviny	kazdy-moze-mat-uspech,europa-2	hudba-11,null,null,lubit-mozme-kazdeho-no-milovat-len-jendeho	milujem-svoju-lasku	slzy-ti-nevratia-co-osud-vzal-vratia-len-bolest-smutok-a-zial	to-co-urobis-je-viac-ako-to-co-len-povies	pozvi-sem-cloveka-ktoremu-chces-povedat-dakujem-za-to-ze-si	chlap-nikdy-nema-problem-vyzliect-ta-ale-obliekat-sa-vzdy-musis-sama-d	potrebujem-ta	posielaj-tu-tych-ludi-co-nelutujes-ze-si-ich-spoznal-ktorym-posielas-velke-kiss	som-len-tvoja-laska-moja	chybas-mi-2	mate-pri-sebe-cloveka-na-ktorom-vam-strasne-zalezi-pridaj-sa-sem,null,null,null,null,skola-alebo-aj-diablov-vynalez-d,hk-36-skalica-1,null,null,null,null
1737,0,16,1,trnavsky kraj	senica,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,cuga-tropic,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,sk-banik-cary,null,null,null,null
1751,1,78,0,nitriansky kraj	levice,0,null,anglicky	madarsky,fotografovanie	cestovanie	surfovanie po webe	pocuvanie hudby	pozeranie filmov	diskoteky	kupalisko	kino	priatelia	nakupovanie,pri telke	v dobrej restauracii,null,null,nosim okuliare,zelene,null,po plecia,zakladne,biela	cierna	fialova	modra	ruzova	zelena	zlta,nefajcim,abstinent,rak,dobreho priatela	priatelku	niekoho na chatovanie,v laske vidim zmysel zivota,null,mojou chybajucou polovickou,null,null,v buducnosti chcem mat deti,horory	komedie	serialy	dokumentarne	zahadne	mysteriozne	historicke	rodinne,v kine	doma z gauca,disko	hitparadovky	pop	rap	hip-hop,na posteli	na diskoteke	pri chodzi,ist do kina alebo divadla	nieco dobre uvarit	pocuvat dobru hudbu	pozerat dobry film v tv	surfovat na sieti a chatovat	pri svieckach s partnerom,null,bukekela-vianoce-d,null,null,null,zakladna skola,null,nesnivaj-svoj-zivot-zi-svoj-sen	zabava-to-je-moje-a-co-si-aj-viem-uzit	len-tak-pre-srandu-lolxd	nove-sklo-je-otras,null,null,null,ked-ti-poslem-tuto-pozvanku-mam-ta-rada	kazdu-pusu-ktoru-mi-das-na-nete-chcem-dostat-aj-naozaj	_-2345656767691	laska-nie-je-ziadna-veda-4,null,milujem-pokec	twilight-new-moon-eclipse-breaking-dawn-midnight-sun	cely-pokec-napchame-do-tohto-klubu,null,pokec	do-tohto-klubu-natrieskame-komplet-celyy-pokec,null,null,twilight-saga-zatmenie	twilight-saga-is-the-best,null,null,null
1854,1,67,0,trnavsky kraj	senica,18,null,anglicky	francuzsky,cestovanie	turistika	citanie	pocuvanie hudby,pri telke	v prirode,null,null,null,hnede,hnede,po plecia,zakladne,biela	cervena	cierna	fialova	hneda	modra	oranzova	ruzova	zelena	zlta,nefajcim,pijem prilezitostne,lev,niekoho na chatovanie	dobreho priatela	priatelku,null,nedokazem mat s niekym sex bez lasky,null,slobodny(a),null,v buducnosti chcem mat deti,null,v kine	doma z gauca,null,na posteli	na dobru noc	pri chodzi	kedykolvek a kdekolvek,pocuvat dobru hudbu	citat dobru knihu,slovenskej	talianskej,null,ja na koncerty nechodim,null,hokej,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,milujem-lentilky-2,null
1980,1,69,0,trnavsky kraj	trnava,0,skolstva,anglicky,kupalisko	pozeranie filmov	spanie	nakupovanie	priatelia	kino	pocuvanie hudby	surfovanie po webe,pri telke	v posteli,nemam ziadne,chuda,null,zelene,blond,rovne,null,modra	ruzova	cierna,uz nefajcim,pijem prilezitostne,skorpion,dobreho priatela	priatelku	niekoho na chatovanie,nie je nic lepsie	ako byt zamilovany(a),null,mojou chybajucou polovickou,slobodny(a),null,v buducnosti chcem mat deti,akcne	komedie	sci-fi	horory,v kine	doma z gauca,house	techno	rap,na posteli	kedykolvek a kdekolvek	na dobru noc,surfovat na sieti a chatovat	pozerat dobry film v tv,slovenskej	vegetarianskej,null,ja na koncerty nechodim,lyzovanie	kolieskove korcule	volejbal	korculovanie,tenis	hokej	futbal,zakladna skola,necitam knihy,null,null,null,null,null,null,null,null,facebook-14,chceme-ece-prazdnini,null,null,null,null,null
2118,1,88,0,zilinsky kraj	martin,14,null,anglicky	taliansky	japonsky	nemecky	rusky	polsky	francuzsky,null,pri svieckach s partnerom	v posteli,null,null,null,null,null,null,null,cierna	zelena,nefajcim,null,panna,null,v laske vidim zmysel zivota,nedokazem mat s niekym sex bez lasky,null,slobodny(a)	zasnubeny	rozvedeny(a)	zenaty (vydata)	mam vazny vztah	vdovec (vdova),null,null,akcne	horory	komedie,u priatela	priatelky,null,null,pri svieckach s partnerom,talianskej,mesto-martin	hymnu-pred-prvov-hodinou-a-kedy-si-ma-robit-du-d	ko-haluz	len-super-ludia-dddd	ak-nas-tu-bude-200-dam-jednemu-pusu	dievcata-vs-chlapci-kto-wyhraa-d	to-nie-ja-to-samo	hviezda-ameriky-a-kanady-tohto-chlapa-pozeralo-na-youtube-vise-6500-000-ludi-a-pocet-stale-rastie	bukekela-dede-je-najlepsi	kto-sa-tesi-na-vianoce	neznasam-tokio-hotel,ani nie,behanie	korculovanie	lyzovanie	hadzana	bedminton	plavanie,null,herec	zivnostnik,null,fb	kamarati-5	vseeetci-crazy-people-semmmm-podmiennka-posielat-pozvanky-kamosom	lubim-havinkov	talentmania-vs-ceskoslvensko-ma-talent-ktora-show-je-lepsia	zakladna-skola-nabrezie-rimavy-hnusta	debilna-matika	stop-22,david-guetta	hudba-a-burka	hannah-montanna-je-krava-chrontava-ktora-nevie-spievat	waka-waka-ee-4	kto-ma-viac-oblubencov-dramatikz-alebo-rytmus	michael-jackson-navzdy-v-nasich-srdciach	nenavidime-biebera,null,sloboda-zvieratam-sk-sk,ked-ti-odomna-pride-pozvanka-mam-ta-rada	vazim-si-tvoje-kamaratstvo-a-preto-ti-posielam-pozvanku-do-tohto-klubu-x	byt-zamilovany-je-krasni-pocit	moji-super-kamosiiiii-d	celyyyyy-martiiiin-a-okolie-d-d-d-hlavne-super-ludia	chces-kiss-pridaj-sa	ked-ma-milujes-nie-je-co-riesit-tak-ziadne-kecy-a-pod-k-vecy	milujem-ta-najviac-na-svete-xddd	posielaj-tu-tych-ludi-co-nelutujes-ze-si-ich-spoznal-ktorym-posielas-velke-kiss	don-t-cry-say-fuck-you-and-smile-4	obcas-ked-ti-chyba-jediny-clovek-zda-sa-ti-svet-vyludneny,null,vesmir-veda-a-zahady	milujem-ta-2	cely-pokec-napchame-do-tohto-klubu	naj-dievcata-a-chlapci,rok-2012,pokec,je-tazke-stat-sa-celebritou-xdd	v-roku-2012-nech-nie-je-koniec-sveta-ale-koniec-vsetkych-skol-d,null,animaky	twilight-33	tisic-a-jedna-noc-binbir-gece-1,null,null,null
2067,0,72,1,banskobystricky kraj	tornala,0,null,anglicky	madarsky	slovensky,kupalisko	stanovanie	pocuvanie hudby	surfovanie po webe	praca s pc	party,pri telke	v posteli	v dobrej restauracii	v kuchyni pri stole,mam macku a psa,priemerna,vyborny,hnede,hnede,kucerave,null,modra	cervena	zelena,nefajcim,abstinent,byk,dobreho priatela	priatelku	niekoho na chatovanie,nie je nic lepsie	ako byt zamilovany(a),sex mozem mat iba s niekym	koho dobre poznam,mojou chybajucou polovickou	moj najlepsi priatel,slobodny,null,v buducnosti chcem mat deti,komedie	horory	akcne	serialy	rodinne	fantasy,doma z gauca	u priatela	priatelky,vsetko	house	techno	rock	disko	metal	rap	hip-hop,kedykolvek a kdekolvek	v aute,s kamaratmi do baru	pocuvat dobru hudbu	pozerat dobry film v tv	pri svieckach s partnerom	surfovat na sieti a chatovat,null,tornala-moje-mesto-x	anti-cigannn-xd,zriedkavo,biliard,auto-moto sporty	futbal	skateboarding	biliard,vodic	technik	programator	mechanik,o zabave	hry	humor,-85102,null,null,null,null,null,cely-pokec-napchame-do-tohto-klubu,null,null,null,null,null,null,null,null
2198,0,74,1,banskobystricky kraj	rimavska sobota,28,strojarenstva a energetiky	zdravotnictva,madarsky,priatelia	sex	varenie	cestovanie	fotografovanie,null,nemam ziadne,priemerna,vyborny,modre,hnede,kratke,ucnovske,modra,fajcim pravidelne,pijem prilezitostne,kozorozec,udrzujem vztahy s priatelmi,v laske vidim zmysel zivota,null,null,zasnubeny,uz by som nechcel(a) mat,null,akcne	umelecke	dokumentarne,doma z gauca,null,kedykolvek a kdekolvek,pri svieckach s partnerom,slovenskej	talianskej	francuzskej	cinskej	mexickej,null,zriedkavo,plavanie	futbal,bojove sporty	auto-moto sporty,robotnik,o zabave	hry	humor,null,null,null,null,null,null,null,null,pokec,null,null,null,null,null,null
2257,1,64,1,presovsky kraj	stara lubovna,0,studujem,anglicky	nemecky,spanie,pri telke	v dobrej restauracii,null,vysportovana,vyborny,zelene,blond,kratke,null,biela	cervena	cierna	modra	zelena	zlta,nefajcim,abstinent,skorpion,nikoho,nie je nic lepsie	ako byt zamilovany(a),nedokazem mat s niekym sex bez lasky,null,slobodny(a),null,null,akcne	horory	komedie,v kine	doma z gauca	u  priatelky,null,null,ist do posilnovne	pozerat dobry film v tv	surfovat na sieti a chatovat,slovenskej	francuzskej	talianskej	cinskej	mexickej	pizza,null,null,bojove sporty	futbal	horolezectvo	kolieskove korcule	korculovanie	lyzovanie	pingpong	plavanie	posilnovanie	skateboarding	snowboarding	tenis,null,stredna skola,null,null,ine-kafe-official,null,null,null,null,null,null,null,null,null,null,null,null,null
2495,0,57,0,trenciansky kraj	trencin,32,sluzieb a obchodu,null,sportovanie	fotografovanie	cestovanie	turistika	praca s pc	pocuvanie hudby	chovatelstvo	malovanie	tancovanie	kupalisko	priatelia	stanovanie,v dobrej restauracii,mam psov	potkana,priemerna,null,modre,blond,kratke,stredoskolske,modra,nefajcim,null,ryby,niekoho na chatovanie	dobreho priatela	priatelku,nie je nic lepsie	ako byt zamilovany(a),null,null,vydata,null,null,akcne	komedie	romanticke	serialy	rodinne,v kine	doma z gauca,disko	hitparadovky	rock	pop	rap	metal	oldies	soundtracky	sladaky	folk a country	house	techno	klasicka hudba	opery	skoro vsetko	podla nalady,kedykolvek a kdekolvek,pocuvat dobru hudbu	surfovat na sieti a chatovat	pri svieckach s partnerom,slovenskej	morske zivocichy,null,null,kolieskove korcule,aerobik	auto-moto sporty	bojove sporty	futbal	hokej	korculovanie	lyzovanie	plavanie	posilnovanie	surfing	tenis	skoky na lyziach	jazdectvo,null,rozpravky	odbornu literaturu	literaturu o umeni a architekture,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2552,0,60,0,presovsky kraj	poprad,0,null,anglicky	nemecky	francuzsky,tancovanie	kupalisko	varenie	kino	nakupovanie	diskoteky	fotografovanie	nakupovanie	spanie	kupalisko	tancovanie,null,mam psa	mam kona,chuda,null,null,hnede,ples,zakladne,fialova	modra	oranzova	ruzova	zelena	zlta,null,null,null,null,null,null,null,null,null,v buducnosti chcem mat deti,komedie	romanticke	serialy,null,disko	pop,null,ist do posilnovne	pri svieckach s partnerom,vegetarianskej,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2537,1,52,1,zilinsky kraj	tvrdosin,19,skolstva,anglicky	nemecky	francuzsky	taliansky	rusky	spanielsky	japonsky,sportovanie	pc hry	jedlo	sex,pri telke,null,chuda,vyborny,hnede,null,kratke,zakladne,biela	cierna	hneda	modra	zlta,nefajcim,abstinent,strelec,null,null,null,null,null,null,null,null,null,null,null,null,slovenskej,null,null,aerobik	auto-moto sporty	baseball	basketbal	bedminton	behanie	bezkovanie	bojove sporty	clnkovanie	veslovanie	futbal	golf	hadzana	hokej	horolezectvo	kolieskove korcule	korculovanie	lyzovanie	paragliding	pingpong	plavanie	posilnovanie	rafting	skateboarding	snowboarding	squash	surfing	tenis	windsurfing,aerobik	auto-moto sporty	baseball	basketbal	bedminton	behanie	bezkovanie	bojove sporty	clnkovanie	veslovanie	futbal	golf	hadzana	hokej	horolezectvo	kolieskove korcule	korculovanie	lyzovanie	paragliding	pingpong	plavanie	posilnovanie	rafting	skateboarding	snowboarding	squash	surfing	tenis	windsurfing,hygienik,null,este-raz-budem-pocut-najkrajsie-stromy-su-na-horehroni-a-kupim-motorovu-pilu,hip-hop-2,null,null,null,null,cely-pokec-napchame-do-tohto-klubu,null,null,null,futbal-is-best-sports,null,null,null,null
2561,1,66,0,nitriansky kraj	vrable,19,null,anglicky	nemecky,fotografovanie	cestovanie	praca s pc	pc hry	citanie	pocuvanie hudby	pozeranie filmov	malovanie	tancovanie	diskoteky	kino	party	priatelia	nakupovanie,pri telke	v dobrej restauracii,pes	rybky,null,null,modre,cierne,null,zakladne,biela	cervena	cierna	fialova	hneda	ruzova	zlta,nefajcim,pijem prilezitostne,ryby,null,null,null,moj,null,null,v buducnosti chcem mat deti,akcne	dramy	horory	komedie	romanticke	serialy	sci-fi	fantasy	rodinne	zahadne	mysteriozne,v kine	doma z gauca	u priatela	priatelky,vsetko co je dobre,na posteli	na dobru noc	na diskoteke	pri chodzi,ist do kina alebo divadla	s kamaratmi do baru	pocuvat dobru hudbu	pozerat dobry film v tv	citat dobru knihu	surfovat na sieti a chatovat,null,null,null,korculovanie,futbal	hokej,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2761,1,31,1,nitriansky kraj	zlate moravce,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,no-nemiluj-ju	priatelia-su-ako-puzzle-ked-jedno-stratis-uz-ho-nenajdes	som-zvedavi-ci-bude-viac-a-alkac-b-abstinent-kto-vihra	ziaci-z-tesarskych-mlynian,null,null,null,null,null,styl-hip-hop-patri-medzy-najlepsich-pridajte-sa-nech-vidia-ze-je-to-pravda	posli-sem-vsetkych-svojich-priatelov-mozno-sa-nam-podari-pozbierat-vsetkych-ludi-z-pokecu	tesarskee-mlynanyy-xd	som-slovak-a-som-na-to-hrdy-3,pohodaci-d	drum-n-bass-8	vendetta,mini-cooper-s,null,lubit-mozme-kazdeho-no-milovat-len-jendeho	ked-ti-odomna-pride-pozvanka-mam-ta-rada	ked-lubit-tak-poriadne-0	kamaratov-tu-mam-wzdy-pri-sebe-ktory-mi-pomahaju-a-ja-som-rada-ze-som-ich-niekedy-spoznala-dakujeem-waam-za-wsetkooo	chces-kiss-pridaj-sa	i-love-peace-4,null,peace-4ewer-d	cely-pokec-napchame-do-tohto-klubu,null,pokec,null,real-madrid-cristiano-ronaldo	real-madrid-4ever	cr1st1an0-r0nald0-is-the-best-player,mafstory_xd,null,keby-moja-pecen-mala-ruky-tak-mi-jednu-p-e,null
2759,1,81,1,trnavsky kraj	senica,16,studujem,null,sportovanie	praca s pc	pc hry	pozeranie filmov	diskoteky	priatelia	spanie,pri telke	v dobrej restauracii,nemam ziadne,vysportovana,vyborny,modre	modro-zelene,hnede,kratke,zakladne,modra,null,pijem prilezitostne,vodnar,dobreho priatela	priatelku,nie je nic lepsie	ako byt zamilovany(a),to skutocne zalezi len na okolnostiach,laskou mojho zivota,slobodny(a),null,null,null,v kine,house	techno	rap	sladaky	hip-hop,pri sexe	pri chodzi,ist do posilnovne	pocuvat dobru hudbu	pc hry	surfovat na sieti a chatovat,slovenskej,null,null,futbal,secky,zakladna skola,necitam knihy,najprv-je-vsetko-super-staci-blbost-a-zrazu-je-vsetko-prec,null,null,null,maj-kazdeho-v-p-a-najme-trapnych-ludi,null,cely-pokec-napchame-do-tohto-klubu,null,null,null,tj-slovan-sastin,null,null,pomoc-chorym-detom,null
2934,1,53,0,banskobystricky kraj	revuca,33,null,null,prace okolo domu	pozeranie filmov	nakupovanie	sex,v kuchyni pri stole	pri telke,macka	kocur	pes,null,vyborny,hnede,cervene,po plecia,null,biela	cervena	cierna	modra	fialova,nefajcim,pijem prilezitostne,baran,to je jedno koho,romanticka laska nie je pre mna	davam prednost realite,to skutocne zalezi len na okolnostiach,absolutne zodpovedny a spolahlivy,null,mam,null,komedie	eroticke	rodinne,doma z gauca,null,kedykolvek a kdekolvek,pozerat dobry film v tv,slovenskej	cinskej	mexickej,null,ja na koncerty nechodim,null,null,null,necitam knihy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2973,1,67,1,banskobystricky kraj	zvolen,20,null,svoj,sportovanie	fotografovanie	cestovanie	prace okolo domu	praca s pc	pc hry	surfovanie po webe	pocuvanie hudby	pozeranie filmov	malovanie	diskoteky	kupalisko	varenie	kino	priatelia	spanie	nakupovanie	sex	stanovanie,pri telke	pri svieckach s partnerom	v dobrej restauracii	v prirode	z partnerovho bruska,nemam,tak trosku pri sebe,null,zelene,hnede,kratke,zakladne,biela	cierna	modra	oranzova	zelena,fajcim prilezitostne,uz nepijem,byk,dobreho priatela	priatelku,v laske vidim zmysel zivota,to skutocne zalezi len na okolnostiach,laskou mojho zivota,slobodny(a),null,null,akcne	horory	komedie	serialy	sci-fi	eroticke	porno,v kine	doma z gauca	u priatela	priatelky	hocikde,rap,na posteli	vo vani	na dobru noc	s partnerom	v praci	na diskoteke	na koncerte	pri sexe	pri chodzi	kedykolvek a kdekolvek,nieco dobre uvarit	ist na koncert	s kamaratmi do baru	pocuvat dobru hudbu	pozerat dobry film v tv	surfovat na sieti a chatovat	pri svieckach s partnerom,null,null,null,null,auto-moto sporty	baseball	bezkovanie	golf	hokej	lyzovanie	skateboarding	snowboarding	tenis	clnkovanie	veslovanie,null,necitam knihy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
91,1,33,1,presovsky kraj	podolinec,9,som nezamestnany,null,null,null,null,priemerna,vyborny,modre,null,na jezka,null,oranzova,nefajcim,abstinent,null,null,null,null,null,null,null,null,komedie	rozpravky,doma z gauca,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
70,0,12,0,kosicky kraj	kosice - zapad,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
127,0,66,0,banskobystricky kraj	ziar nad hronom,16,null,trochu anglicky,sportovanie	fotografovanie	cestovanie	turistika	pocuvanie hudby	tancovanie	diskoteky	kupalisko	kino	party	priatelia	nakupovanie	stanovanie,v dobrej restauracii,mam psa,priemerna,vyborny,modre	sive,hnede,dlhe,null,modra	zlta,nefajcim,abstinent,strelec,niekoho na chatovanie,v laske vidim zmysel zivota,null,null,null,null,null,horory	komedie	romanticke	serialy	rodinne	muzikaly,v kine	doma z gauca	u priatela	priatelky,null,kedykolvek a kdekolvek,null,slovenskej	talianskej,sem-vsetci-ktori-sa-radi-usmievaju	zaaabavaaa-a-smiech-je-moj-zivooot-p	rohlik-4ever	na-pociatku-boh-stvoril-nebo-a-zem-ostatne-je-made-in-china-dd	anti-nuda	usmev-hybe-svetom-xp-tak-sa-smej-d	svata-trojka-fico-slota-kukan	dievcata-vs-chlapci-kto-wyhraa-d	mam-ta-brat	farebne-naramky	posli-tuto-pozvanku-vsem-ktere-nechces-nikdy-ztratit,null,futbal	korculovanie	plavanie	volejbal,futbal	hokej	korculovanie	lyzovanie	plavanie,null,o zabave	hry	humor,som-kto-som	priatel-je-ten-kto-o-vas-vie-vsetko-a-ma-vas-stale-rovnako-rad	som-aka-som-niesom-dokonala-ale-vynimocna-taku-ako-som-ja-uz-nikde-nenajdes	usmev-je-lacnejsi-ako-elektrina-a-pritom-dava-viac-svetla,street-dance-4ever,null,najkrajsi-billboard-na-svete-kto-voli-fica-voli-aj-slotu-a-meciara,vazim-si-tvoje-kamaratstvo-a-preto-ti-posielam-pozvanku-do-tejto-skupiny-o	ked-ti-odomna-pride-pozvanka-mam-ta-rada	pyta-sa-laska-priatelstva-naco-si-tu-ty-ked-som-tu-ja-a-priatelstvo-odpoveda-aby-som-vycaroval-usmev-tam-kde-ty-nechas-slzy	to-co-urobis-je-viac-ako-to-co-len-povies	priatelia-nadovsetko	nestojim-o-priatelstvo-s-falosnymi-ludmi-ktory-predstieraju-ze-ma-maju-radi	cim-viac-lasky-rodas-tym-viac-ti-zostane	priatelia-su-ty-co-ma-na-tomto-svete-drzia-a-preto-im-dakujem-ste-pre-mna-vsetko	kamaratov-tu-mam-wzdy-pri-sebe-ktory-mi-pomahaju-a-ja-som-rada-ze-som-ich-niekedy-spoznala-dakujeem-waam-za-wsetkooo	lubim-ta-ale-ty-to-nikdy-nebudes-vediet	zrada-boli-najviac-samotneho-zradcu-skor-alebo-neskor-na-kazdeho-podrazaka-pride	chcem-ta-mat-3,null,cely-pokec-napchame-do-tohto-klubu	nezabudnutelne-prazdniny-dakujem-wam	odpustim-ale-nezabudnem-na-to-nikdy,null,null,monitor-2010-2011,null,null,null,null,null
291,1,64,0,banskobystricky kraj	banska bystrica,19,null,anglicky	nemecky,sportovanie	pocuvanie hudby	pozeranie filmov	diskoteky	kupalisko	kino	party	priatelia	spanie	nakupovanie	stanovanie,pri telke	v posteli	z partnerovho bruska,vtacik,null,vyborny,null,null,dlhe,null,null,null,null,null,null,null,null,null,null,null,null,akcne	horory	komedie,v kine	u priatela	priatelky,hitparadovky	pop	hip-hop	oldies,na posteli	vo vani	na dobru noc	pri chodzi,ist do kina alebo divadla	s kamaratmi do baru	pocuvat dobru hudbu	pozerat dobry film v tv,slovenskej	talianskej	greckej	mexickej,null,ja na koncerty nechodim,basketbal	behanie	futbal	kolieskove korcule	korculovanie	plavanie	snowboarding	tenis,basketbal	futbal	hokej	skateboarding	snowboarding	surfing	tenis,null,necitam knihy,null,drum-and-bass-9	memphis-or-die,null,null,null,null,null,null,null,null,null,null,null,null,null
274,0,78,0,trenciansky kraj	ilava,20,skolstva,anglicky	nemecky	slovensky,sportovanie	fotografovanie	praca s pc	pc hry	citanie	pocuvanie hudby	pozeranie filmov	malovanie	diskoteky	kupalisko	priatelia	spanie,pri telke	v dobrej restauracii,null,null,vyborny,hnede,null,rovne,zakladne,cervena	cierna	modra,nefajcim,abstinent,blizenci,niekoho na chatovanie,null,sex mozem mat iba s niekym	koho dobre poznam,absolutne zodpovedny a spolahlivy,slobodny(a),null,null,akcne	horory	komedie	serialy	dokumentarne	fantasy	vojnove	historicke	rodinne	zahadne	mysteriozne	zelena mila	sumrak,doma z gauca	v kine,hitparadovky	rock	pop	rap	soundtracky	sladaky	trance	metal,na posteli	vo vani	na dobru noc	na diskoteke,pocuvat dobru hudbu	pozerat dobry film v tv	citat dobru knihu,slovenskej	cinskej	mexickej	vegetarianskej,srdcom-dulovan-ka,ja na koncerty nechodim,null,aerobik	baseball	basketbal	behanie	bojove sporty	futbal	golf	hokej	korculovanie	lyzovanie	plavanie	tenis,null,historicke romany	zivotopisne a pamate	cudzojazycnu literaturu	filozoficku literaturu	literaturu pre rozvoj osobnosti	psychologicku literaturu	cestopisy,null,majk-spirit-2,null,null,srdcu-nerozkazes-srdce-si-vybera-samo	bojim-sa-dna-ked-budem-musiet-odist-bez-toho-aby-som-mu-povedal-a-ako-ho-ju-mam-strasne-rad-a	priatel-je-clovek-ktoremu-ked-povies-niekoho-som-zabil-odpovie-kam-ho-zakopeme-1,null,null,null,null,null,null,null,null,null,null
